ESTACION,MAGNITUD,count,promedio,desv_std,min,max
4,1,1461,7.329911019849418,16.37904990989957,1.0,610.0
4,6,1461,0.41149897330595486,0.1729019384135538,0.1,1.3
4,7,1461,31.939767282683093,37.66796811071235,0.0,239.0
4,8,1461,44.39835728952772,17.766062692702167,0.0,105.0
4,12,1461,93.34154688569473,72.43653135016795,0.0,467.0
8,1,1461,8.375770020533881,4.364607206567522,0.0,24.0
8,6,1461,0.36262833675564676,0.16171069039571614,0.0,1.3
8,7,1461,28.396988364134156,29.909609794297285,0.0,230.0
8,8,1461,55.79260780287474,19.074047493485697,0.0,148.0
8,9,1461,10.772073921971252,6.147006210622852,0.0,84.0
8,10,1461,20.474332648870636,13.037939566246832,0.0,233.0
8,12,1461,99.30937713894593,61.952357753253565,0.0,501.0
8,14,1461,43.51266255989049,21.045433821977472,0.0,103.0
8,20,1461,2.978097193702943,2.369885135387468,0.0,35.3
8,30,1461,0.7534565366187542,0.4418633059641702,0.0,3.6
8,35,1461,0.5885010266940451,0.8300960570131679,0.0,13.9
8,42,1461,1.577611225188227,0.2580081276938782,-0.01,3.09
8,43,1461,1.4630116358658454,0.22615176865824768,-0.05,2.77
8,44,1461,0.11568788501026694,0.07223550561140087,0.0,1.31
11,7,1461,21.675564681724847,25.685535315115924,1.0,194.0
11,8,1461,42.93223819301848,19.28070032941076,9.0,119.0
11,12,1461,76.20123203285421,56.277570642176514,11.0,385.0
11,20,1461,2.767624914442163,5.628113059932151,0.0,195.0
11,30,1461,0.7365503080082135,0.7265739709828836,0.0,4.2
11,35,1461,0.38898015058179325,0.6209761319527877,0.0,17.8
16,6,1461,0.31423682409308695,0.14113986567994646,0.1,1.2
16,7,1461,15.732375085557837,22.400837170303397,1.0,179.0
16,8,1461,37.69952087611225,17.539448486053974,6.0,110.0
16,12,1461,61.80287474332649,49.65531347311933,9.0,384.0
16,14,1461,45.2621492128679,23.059372397741424,0.0,108.0
17,1,1461,8.137577002053389,7.523449506790359,1.0,234.0
17,7,1461,32.38809034907597,50.75972781302226,1.0,306.0
